timestamp(ms),cpu(%),mem(b)
1430403210491,8.327376697641302,245530624
1430403210990,0,245530624
1430403211490,0,245530624
1430403211992,0,245530624
1430403212493,0,245530624
1430403212995,0,245530624
1430403213494,0,245530624
1430403213994,19.99999999999993,251887616
1430403214495,54.00000000000009,260624384
1430403214997,50.98039215665906,273432576
1430403215497,46,286765056
1430403215997,54,291741696
1430403216497,48.00000000000004,297689088
1430403216997,35.99999999999994,299474944
1430403217498,45.99999999999991,306921472
1430403217999,38.000000000000256,312827904
1430403218501,45.99999999999991,318169088
1430403219001,40.000000000000036,319381504
1430403219503,39.99999999999986,322686976
1430403220003,44.00000000000013,326713344
1430403220504,45.99999999999991,334540800
1430403221005,43.99999999999995,340492288
1430403221507,41.17647058836453,345362432
1430403222007,44.00000000000013,350556160
1430403222507,45.99999999999991,354861056
1430403223010,48.00000000000004,359604224
1430403223510,40.000000000000036,363257856
1430403224010,40.000000000000036,367812608
1430403224511,37.9999999999999,372654080
1430403225011,41.99999999999999,376655872
1430403225514,43.99999999999995,380170240
1430403226015,38.00000000000008,384913408
1430403226519,43.99999999999995,389070848
1430403227016,44.00000000000013,393216000
1430403227516,45.098039215506205,397000704
1430403228017,39.99999999999986,401195008
1430403228517,41.999999999999815,404979712
1430403229020,46.000000000000085,408494080
1430403229521,33.999999999999986,412626944
1430403230022,40.00000000000021,416423936
1430403230522,41.999999999999815,420204544
1430403231022,46.000000000000085,423989248
1430403231524,44.00000000000013,427704320
1430403232025,44.00000000000013,431943680
1430403232526,41.999999999999815,438702080
1430403233026,41.17647058836435,442486784
1430403233527,35.99999999999994,446271488
1430403234028,46.000000000000085,450473984
1430403234528,44.00000000000013,454529024
1430403235028,42.00000000000017,458235904
1430403235528,29.999999999999716,461746176
1430403236029,40.00000000000021,466276352
1430403236529,43.99999999999977,470253568
1430403237029,41.999999999999815,473767936
1430403237530,38.000000000000256,477552640
1430403238031,43.99999999999977,481828864
1430403238534,38.000000000000256,486273024
1430403239034,43.99999999999977,491102208
1430403239535,40.00000000000021,494886912
1430403240035,48.00000000000004,499789824
1430403240535,40.00000000000021,504860672
1430403241037,35.29411764716954,509591552
1430403241537,37.9999999999999,513966080
1430403242038,43.99999999999977,518172672
1430403242538,42.00000000000017,522387456
1430403243039,43.99999999999977,525901824
1430403243539,38.000000000000256,529686528
1430403244040,43.99999999999977,533889024
1430403244541,46.000000000000085,538185728
1430403245042,46.000000000000085,542892032
1430403245543,35.99999999999994,547000320
1430403246045,50,552435712
1430403246546,43.99999999999977,474828800
1430403247046,48.0000000000004,475619328
1430403247546,27.999999999999403,476237824
1430403248046,47.05882352922417,476639232
1430403248550,48.0000000000004,477294592
1430403249048,47.99999999999969,478142464
1430403249550,43.99999999999977,478543872
1430403250050,43.99999999999977,478543872
1430403250551,42.00000000000088,479080448
1430403251051,43.99999999999977,479350784
1430403251552,41.99999999999946,479350784
1430403252052,46.000000000000085,479350784
1430403252552,46.000000000000085,479350784
1430403253052,47.99999999999969,479350784
1430403253554,54.000000000000625,434302976
