timestamp(ms),cpu(%),mem(b)
1430388226581,46.234590061257855,3553906688
1430388227085,0,3553906688
1430388227583,0,3553906688
1430388228083,0,3553906688
1430388228583,0,3553906688
1430388229085,0,3553906688
1430388229586,0,3553906688
1430388230086,0,3553890304
1430388230587,70.00000000007276,3555033088
1430388231089,51.999999999952706,3580420096
1430388231590,50,3586957312
1430388232091,0,3586957312
1430388232593,0,3586957312
1430388233094,0,3586957312
1430388233593,0,3586957312
1430388234094,0,3586957312
