START 1430393669843
fragment results first_time total_time first_http total_http
http://localhost:3000/dbpedia2014 107 2684 77699 794 22871
http://localhost:3000/dbpedia2014 108 2684 77702 794 22871
http://localhost:3000/dbpedia2014 109 2684 77718 794 22876
http://localhost:3000/dbpedia2014 110 2684 77749 794 22882
http://localhost:3000/dbpedia2014 111 2684 77754 794 22882
http://localhost:3000/dbpedia2014 112 2684 77773 794 22888
http://localhost:3000/dbpedia2014 113 2684 77816 794 22902
http://localhost:3000/dbpedia2014 114 2684 77819 794 22902
http://localhost:3000/dbpedia2014 115 2684 77847 794 22908
http://localhost:3000/dbpedia2014 116 2684 77964 794 22936
http://localhost:3000/dbpedia2014 117 2684 77967 794 22936
http://localhost:3000/dbpedia2014 118 2684 77987 794 22942
http://localhost:3000/dbpedia2014 119 2684 78002 794 22947
http://localhost:3000/dbpedia2014 120 2684 78042 794 22959
http://localhost:3000/dbpedia2014 121 2684 78045 794 22959
http://localhost:3000/dbpedia2014 122 2684 78147 794 22987
http://localhost:3000/dbpedia2014 123 2684 78178 794 22996
http://localhost:3000/dbpedia2014 124 2684 78229 794 23009
http://localhost:3000/dbpedia2014 125 2684 78265 794 23018
http://localhost:3000/dbpedia2014 126 2684 78309 794 23029
http://localhost:3000/dbpedia2014 127 2684 78318 794 23029
http://localhost:3000/dbpedia2014 128 2684 78366 794 23042
http://localhost:3000/dbpedia2014 129 2684 78367 794 23042
http://localhost:3000/dbpedia2014 130 2684 78445 794 23066
http://localhost:3000/dbpedia2014 131 2684 78448 794 23066
http://localhost:3000/dbpedia2014 132 2684 78470 794 23072
http://localhost:3000/dbpedia2014 133 2684 78474 794 23072
http://localhost:3000/dbpedia2014 134 2684 87153 794 25445
http://localhost:3000/dbpedia2014 135 2684 87153 794 25445
http://localhost:3000/dbpedia2014 136 2684 87153 794 25445
http://localhost:3000/dbpedia2014 137 2684 87153 794 25445
http://localhost:3000/dbpedia2014 138 2684 87154 794 25445
http://localhost:3000/dbpedia2014 139 2684 87217 794 25463
http://localhost:3000/dbpedia2014 140 2684 87237 794 25469
http://localhost:3000/dbpedia2014 141 2684 87259 794 25475
http://localhost:3000/dbpedia2014 142 2684 87357 794 25503
http://localhost:3000/dbpedia2014 143 2684 87367 794 25503
http://localhost:3000/dbpedia2014 144 2684 87381 794 25508
http://localhost:3000/dbpedia2014 145 2684 87422 794 25518
http://localhost:3000/dbpedia2014 146 2684 87425 794 25518
http://localhost:3000/dbpedia2014 147 2684 87515 794 25545
http://localhost:3000/dbpedia2014 148 2684 87615 794 25570
http://localhost:3000/dbpedia2014 149 2684 87634 794 25575
http://localhost:3000/dbpedia2014 150 2684 87667 794 25584
http://localhost:3000/dbpedia2014 151 2684 87686 794 25589
http://localhost:3000/dbpedia2014 152 2684 87710 794 25596
http://localhost:3000/dbpedia2014 153 2684 87777 794 25618
http://localhost:3000/dbpedia2014 154 2684 87780 794 25618
http://localhost:3000/dbpedia2014 155 2684 87797 794 25624
http://localhost:3000/dbpedia2014 156 2684 87800 794 25624
http://localhost:3000/dbpedia2014 157 2684 92642 794 26951
http://localhost:3000/dbpedia2014 158 2684 94047 794 27388
http://localhost:3000/dbpedia2014 159 2684 94053 794 27388
http://localhost:3000/dbpedia2014 160 2684 94112 794 27403
http://localhost:3000/dbpedia2014 161 2684 94512 794 27538
http://localhost:3000/dbpedia2014 162 2684 94870 794 27663
http://localhost:3000/dbpedia2014 163 2684 99596 794 29073
http://localhost:3000/dbpedia2014 164 2684 100904 794 29416
http://localhost:3000/dbpedia2014 165 2684 102061 794 29757
http://localhost:3000/dbpedia2014 166 2684 102209 794 29798
http://localhost:3000/dbpedia2014 167 2684 103446 794 30177
http://localhost:3000/dbpedia2014 168 2684 103903 794 30330
http://localhost:3000/dbpedia2014 169 2684 104471 794 30506
http://localhost:3000/dbpedia2014 170 2684 111243 794 32436
http://localhost:3000/dbpedia2014 171 2684 120733 794 35238
http://localhost:3000/dbpedia2014 172 2684 120893 794 35280
http://localhost:3000/dbpedia2014 173 2684 126926 794 37125
http://localhost:3000/dbpedia2014 174 2684 133825 794 39122
http://localhost:3000/dbpedia2014 175 2684 136824 794 40115
http://localhost:3000/dbpedia2014 176 2684 139125 794 40786
http://localhost:3000/dbpedia2014 177 2684 139126 794 40786
http://localhost:3000/dbpedia2014 178 2684 139126 794 40786
http://localhost:3000/dbpedia2014 179 2684 139949 794 41026
http://localhost:3000/dbpedia2014 180 2684 141540 794 41561
http://localhost:3000/dbpedia2014 181 2684 142613 794 41924
http://localhost:3000/dbpedia2014 182 2684 142720 794 41957
http://localhost:3000/dbpedia2014 183 2684 142738 794 41962
http://localhost:3000/dbpedia2014 184 2684 142850 794 41989
http://localhost:3000/dbpedia2014 185 2684 142884 794 41995
http://localhost:3000/dbpedia2014 186 2684 143262 794 42126
http://localhost:3000/dbpedia2014 187 2684 143263 794 42126
http://localhost:3000/dbpedia2014 188 2684 143264 794 42126
http://localhost:3000/dbpedia2014 189 2684 143266 794 42126
http://localhost:3000/dbpedia2014 190 2684 143267 794 42126
http://localhost:3000/dbpedia2014 191 2684 143268 794 42126
http://localhost:3000/dbpedia2014 192 2684 143317 794 42126
http://localhost:3000/dbpedia2014 193 2684 143317 794 42126
http://localhost:3000/dbpedia2014 194 2684 143374 794 42139
http://localhost:3000/dbpedia2014 195 2684 144184 794 42396
http://localhost:3000/dbpedia2014 196 2684 144194 794 42396
http://localhost:3000/dbpedia2014 197 2684 144194 794 42396
http://localhost:3000/dbpedia2014 198 2684 144194 794 42396
http://localhost:3000/dbpedia2014 199 2684 144860 794 42584
http://localhost:3000/dbpedia2014 200 2684 145698 794 42824
http://localhost:3000/dbpedia2014 201 2684 145698 794 42824
http://localhost:3000/dbpedia2014 202 2684 145879 794 42854
http://localhost:3000/dbpedia2014 203 2684 145880 794 42854
http://localhost:3000/dbpedia2014 204 2684 145883 794 42854
http://localhost:3000/dbpedia2014 205 2684 146181 794 42955
http://localhost:3000/dbpedia2014 206 2684 146184 794 42955
http://localhost:3000/dbpedia2014 207 2684 146622 794 43098
http://localhost:3000/dbpedia2014 208 2684 148766 794 43692
http://localhost:3000/dbpedia2014 209 2684 148867 794 43709
http://localhost:3000/dbpedia2014 210 2684 149534 794 43937
http://localhost:3000/dbpedia2014 211 2684 160674 794 47125
http://localhost:3000/dbpedia2014 212 2684 160901 794 47203
http://localhost:3000/dbpedia2014 213 2684 161550 794 47380
http://localhost:3000/dbpedia2014 214 2684 161686 794 47397
http://localhost:3000/dbpedia2014 215 2684 162534 794 47682
http://localhost:3000/dbpedia2014 216 2684 162854 794 47760
http://localhost:3000/dbpedia2014 217 2684 162998 794 47799
http://localhost:3000/dbpedia2014 218 2684 163023 794 47808
http://localhost:3000/dbpedia2014 219 2684 163088 794 47830
http://localhost:3000/dbpedia2014 220 2684 164041 794 48076
http://localhost:3000/dbpedia2014 221 2684 164824 794 48291
http://localhost:3000/dbpedia2014 222 2684 166265 794 48709
http://localhost:3000/dbpedia2014 223 2684 166266 794 48709
http://localhost:3000/dbpedia2014 224 2684 166267 794 48709
http://localhost:3000/dbpedia2014 225 2684 166267 794 48709
http://localhost:3000/dbpedia2014 226 2684 166268 794 48709
http://localhost:3000/dbpedia2014 227 2684 166268 794 48709
