START 1430402743097
fragment results first_time total_time first_http total_http
http://localhost:3000/dbpedia2014 107 3583 89261 780 22949
http://localhost:3000/dbpedia2014 108 3583 89266 780 22949
http://localhost:3000/dbpedia2014 109 3583 89288 780 22954
http://localhost:3000/dbpedia2014 110 3583 89312 780 22960
http://localhost:3000/dbpedia2014 111 3583 89315 780 22960
http://localhost:3000/dbpedia2014 112 3583 89347 780 22966
http://localhost:3000/dbpedia2014 113 3583 89402 780 22980
http://localhost:3000/dbpedia2014 114 3583 89405 780 22980
http://localhost:3000/dbpedia2014 115 3583 89432 780 22986
http://localhost:3000/dbpedia2014 116 3583 89540 780 23014
http://localhost:3000/dbpedia2014 117 3583 89544 780 23014
http://localhost:3000/dbpedia2014 118 3583 89564 780 23020
http://localhost:3000/dbpedia2014 119 3583 89588 780 23025
http://localhost:3000/dbpedia2014 120 3583 89638 780 23037
http://localhost:3000/dbpedia2014 121 3583 89641 780 23037
http://localhost:3000/dbpedia2014 122 3583 89748 780 23065
http://localhost:3000/dbpedia2014 123 3583 89779 780 23074
http://localhost:3000/dbpedia2014 124 3583 89827 780 23087
http://localhost:3000/dbpedia2014 125 3583 89863 780 23096
http://localhost:3000/dbpedia2014 126 3583 89900 780 23107
http://localhost:3000/dbpedia2014 127 3583 89905 780 23107
http://localhost:3000/dbpedia2014 128 3583 89972 780 23120
http://localhost:3000/dbpedia2014 129 3583 89973 780 23120
http://localhost:3000/dbpedia2014 130 3583 90056 780 23144
http://localhost:3000/dbpedia2014 131 3583 90060 780 23144
http://localhost:3000/dbpedia2014 132 3583 90082 780 23150
http://localhost:3000/dbpedia2014 133 3583 90086 780 23150
http://localhost:3000/dbpedia2014 134 3583 99232 780 25523
http://localhost:3000/dbpedia2014 135 3583 99232 780 25523
http://localhost:3000/dbpedia2014 136 3583 99232 780 25523
http://localhost:3000/dbpedia2014 137 3583 99232 780 25523
http://localhost:3000/dbpedia2014 138 3583 99233 780 25523
http://localhost:3000/dbpedia2014 139 3583 99318 780 25542
http://localhost:3000/dbpedia2014 140 3583 99322 780 25542
http://localhost:3000/dbpedia2014 141 3583 99343 780 25548
http://localhost:3000/dbpedia2014 142 3583 99448 780 25575
http://localhost:3000/dbpedia2014 143 3583 99474 780 25581
http://localhost:3000/dbpedia2014 144 3583 99495 780 25586
http://localhost:3000/dbpedia2014 145 3583 99527 780 25596
http://localhost:3000/dbpedia2014 146 3583 99531 780 25596
http://localhost:3000/dbpedia2014 147 3583 99638 780 25623
http://localhost:3000/dbpedia2014 148 3583 99715 780 25644
http://localhost:3000/dbpedia2014 149 3583 99744 780 25653
http://localhost:3000/dbpedia2014 150 3583 99781 780 25663
http://localhost:3000/dbpedia2014 151 3583 99786 780 25663
http://localhost:3000/dbpedia2014 152 3583 99824 780 25674
